site,record_id,attr,value,target_property,difficulty,target_norm,pred_zero_norm,pred_ft_norm
www.ebay.com,44064,optical zoom,5x,zoom_optical,A,zoom optical,auto focus points,zoom optical
www.pcconnection.com,12439,color,Black,color,A,color,color,color
www.ebay.com,54875,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.alibaba.com,28249,lens mount,φ14,lens_mount_type,A,lens mount type,auto focus mode,lens mount type
www.priceme.co.nz,2299,max image resolution,4608x3456,image_resolution_lw,A,image resolution lw,auto focus points,image resolution
www.buzzillions.com,899,megapixels,12.0,image_resolution,B,image resolution,auto focus mode,image resolution
www.pricedekho.com,1207,maximum shutter speed,1/4000 sec,shutter_speed_max,A,shutter speed max,auto focus mode,shutter speed max
www.buzzillions.com,1053,megapixels,16,image_resolution,B,image resolution,auto focus mode,image resolution
www.shopmania.in,1399,sensor size,17.3x13.0mm,sensor_size,A,sensor size,auto focus mode,sensor size
www.ebay.com,45326,brand,Nikon,brand,A,brand,brand,brand
www.price-hunt.com,790,sensor format,23.7 x 15.7 mm (Aps-c),sensor_size,A,sensor size,auto focus mode,sensor format
www.walmart.com,677,self timer delay,"10 sec, 2 sec",self_timer,A,self timer,auto focus type,self timer
www.canon-europe.com,157,redeye correction,"Yes, during shooting and playback",red_eye_reduction,C,red eye reduction,auto focus mode,picture styles
www.ebay.com,47372,brand,Fujifilm,brand,A,brand,brand,brand
www.ebay.com,48598,megapixels,5.1 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,59462,screen size,"2""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,47866,screen size,"2.7""",screen_size,A,screen size,auto focus mode,screen size
www.ebay.com,24457,brand,Ricoh,brand,A,brand,brand,brand
www.price-hunt.com,9714,warranty summary,6 Months,warranty_duration,A,warranty duration,auto focus points,warranty duration
www.mypriceindia.com,50,camera resolution,8.9 MP,image_resolution,A,image resolution,auto focus automatic,image resolution
www.ebay.com,56621,screen size,"1.5""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,53152,megapixels,16.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.shopmania.in,1523,max shutter speed,1/2000,shutter_speed_max,A,shutter speed max,auto focus mode,shutter speed max
www.buzzillions.com,1817,pixel count,8 Megapixel,image_resolution,C,image resolution,auto focus points,image resolution
www.buzzillions.com,2835,builtin memory,44 MB,internal_memory_capacity,A,internal memory capacity,builtin memory,internal memory capacity
www.ebay.com,54310,megapixels,12.2 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.cambuy.com.au,155,total pixels,24.69 million,image_resolution,B,image resolution,auto focus points,image resolution
www.alibaba.com,35300,lens mount,Φ14,lens_mount_type,A,lens mount type,auto focus mode,lens mount type
www.ebay.com,55192,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,48403,megapixels,16.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,47012,optical zoom,3x,zoom_optical,A,zoom optical,auto focus points,zoom optical
www.ebay.com,46578,megapixels,16.1 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.alibaba.com,26503,focus control,Manual,auto_focus_automatic,A,auto focus automatic,auto focus mode,auto focus automatic
buy.net,6681,width,5.1 in,camera_width,A,camera width,width,image resolution
www.eglobalcentral.co.uk,313,focal length,1.4x that of a master lens,focal_length_min,A,focal length min,auto focus mode,focal length
www.ebay.com,24465,brand,Nikon,brand,A,brand,brand,brand
www.ebay.com,46045,megapixels,10.1 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.mypriceindia.com,108,image ratio wh,"4:3, 16:9",supported_aspect_ratio,A,supported aspect ratio,auto focus mode,supported aspect ratio
www.gosale.com,860,manufacturer,Sony,brand,C,brand,manufacturer,camera width
www.ebay.com,54502,screen size,"1.8""",screen_size,A,screen size,auto focus points,screen size
www.canon-europe.com,165,still image type,"JPEG (Exif 2.2 [Exif Print] compliant) / Design rule for Camera File system, RAW, Digital Print Order Format [DPOF] Version 1.1 compliant",image_format,A,image format,auto focus mode,image format
www.ukdigitalcameras.co.uk,276,camera resolution,16 Megapixels,image_resolution,A,image resolution,auto focus automatic,image resolution
www.ebay.com,47798,brand,Polaroid,brand,A,brand,brand,camera type
www.ilgs.net,125,display,TFT,screen_type,C,screen type,auto focus points,image resolution
buy.net,5362,image sensor,CMOS,sensor_type,A,sensor type,auto focus mode,sensor type
buy.net,4293,longest shutter speed,15 Second,shutter_speed_min,A,shutter speed min,auto focus mode,shutter speed min
www.price-hunt.com,9551,optical zoom,5x,zoom_optical,A,zoom optical,auto focus mode,zoom optical
www.gosale.com,919,manufacturer,Canon,brand,C,brand,manufacturer,camera type
www.buzzillions.com,2480,pixel count,10 Megapixel,image_resolution,C,image resolution,auto focus points,image resolution
www.ebay.com,48654,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,44396,megapixels,14.2 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.mypriceindia.com,771,other focus features,"5 cm Macro Focus Range, 9 Focus Points",auto_focus_points,A,auto focus points,auto focus points,focus type
www.pricedekho.com,1273,screen size,3 Inches,screen_size,A,screen size,auto focus mode,screen size
buy.net,6370,lcd screen size,3 in,screen_size,A,screen size,auto focus mode,screen size
www.priceme.co.nz,1893,still image format,"JPEG, RAW",image_format,A,image format,auto focus mode,image format
www.wexphotographic.com,569,iso min,80,iso_sensitivity_min,A,iso sensitivity min,auto focus mode,iso sensitivity min
www.pcconnection.com,12378,optical sensor type,CCD,sensor_type,A,sensor type,auto focus automatic,sensor type
www.ebay.com,45817,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.price-hunt.com,9601,maximum shutter speed,1/1600 sec,shutter_speed_max,A,shutter speed max,auto focus mode,shutter speed max
www.ebay.com,47361,brand,Olympus,brand,A,brand,brand,brand
www.shopmania.in,1200,optical zoom,3.3x,zoom_optical,A,zoom optical,auto focus automatic,zoom optical
www.cambuy.com.au,106,exposure compensation,+/- 2 EV in 1/3 stop increments. Enhanced i-Contrast for automatic dynamic range correction,exposure_compensation,A,exposure compensation,auto focus mode,exposure compensation
www.alibaba.com,24944,max image resolution,2048 * 1536,image_resolution_lw,A,image resolution lw,auto focus points,image resolution
www.mypriceindia.com,4,video format,Motion JPEG,video_format,A,video format,video format,video format
www.shopmania.in,1546,depth,18 mm,camera_depth,A,camera depth,auto focus mode,camera depth
www.alibaba.com,30307,white balance,Auto/Manual,white_balance,A,white balance,auto focus mode,white balance
www.ebay.com,48109,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,44828,brand,Canon,brand,A,brand,brand,brand
www.buzzillions.com,2742,manufacturers warranty hardware,1 Year,warranty_duration,A,warranty duration,manufacturer warranty hardware,warranty duration
buy.net,5467,memory card support,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,external_memory_type,A,external memory type,auto focus mode,external memory type
www.canon-europe.com,75,photo effects,"Vivid, Neutral, Low Sharpening, Sepia, Black & White",picture_styles,C,picture styles,auto focus mode,picture styles
www.ebay.com,46930,megapixels,16.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.henrys.com,190,camera type,Super Zoom,camera_type,A,camera type,auto focus automatic,camera type
www.ilgs.net,83,image formats supported,JPG,image_format,A,image format,auto focus mode,image format
www.ebay.com,46395,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.shopmania.in,1621,white balance,Automatic / Custom / Presets,white_balance,A,white balance,auto focus type,white balance
www.shopbot.com.au,1459,sensor resolution,"18,1 Mpx",image_resolution,A,image resolution,auto focus points,sensor resolution mpx
www.ebay.com,56727,brand,HP,brand,A,brand,brand,brand
www.shopbot.com.au,1502,camera type,SLR,camera_type,A,camera type,auto focus automatic,camera type
www.ebay.com,53865,screen size,"2.7""",screen_size,A,screen size,auto focus mode,screen size
www.ebay.com,59917,megapixels,3.2 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,43587,brand,Canon,brand,A,brand,brand,brand
www.ebay.com,48299,brand,Canon,brand,A,brand,brand,brand
www.ebay.com,43467,brand,Nikon,brand,A,brand,brand,brand
www.gosale.com,1216,manufacturer,Panasonic,brand,C,brand,manufacturer,camera width
www.mypriceindia.com,24,digital zoom,4x,zoom_digital,A,zoom digital,auto focus mode,zoom digital
www.shopmania.in,1195,self timer delay,Custom / 2s / 10s,self_timer,A,self timer,auto focus type,self timer
buy.net,5411,exposure control,Program AE Shutter Priority AE Aperture Priority AE Manual,exposure_mode,A,exposure mode,auto focus points,exposure compensation
www.ebay.com,59038,screen size,"3.0""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,24454,megapixels,16.1 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.eglobalcentral.co.uk,375,effective pixels,16 megapixels,image_resolution,B,image resolution,auto focus points,image resolution
www.ebay.com,58752,brand,Polaroid,brand,A,brand,brand,camera type
www.shopmania.in,1302,min shutter speed,30s (more than 65%),shutter_speed_min,A,shutter speed min,auto focus mode,shutter speed min
www.price-hunt.com,9598,optical zoom,12 x,zoom_optical,A,zoom optical,auto focus mode,zoom optical
www.pricedekho.com,992,display,"Display Type
TFT LCD Touchscreen
Screen Size
2.7 Inches
Image Display Resolution
230000 dots
Additional Display Features
Anti-reflection Coating",screen_size,B,screen size,display,screen size
www.priceme.co.nz,2324,min focal length,25mm,focal_length_min,A,focal length min,auto focus mode,focal length max
www.shopmania.in,1138,exposure modes,Bulb / Landscape / Movie / 3D,exposure_mode,A,exposure mode,auto focus mode,exposure mode
www.mypriceindia.com,694,lens type,LEICA DC VARIO-SUMMILUX,lens_mount_type,A,lens mount type,auto focus mode,lens mount type
www.priceme.co.nz,1937,min focal length,25mm,focal_length_min,A,focal length min,auto focus mode,focal length max
www.ebay.com,54336,brand,Canon,brand,A,brand,brand,brand
www.buzzillions.com,2387,lcd display size inches,2.7,screen_size,A,screen size,auto focus mode,screen size
www.ebay.com,56070,brand,Samsung,brand,A,brand,brand,brand
www.ebay.com,42928,megapixels,10.1 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.buzzillions.com,2686,exposure modes,Shutter-Priority AE Program AE Manual Auto Aperture-Priority AE,exposure_mode,A,exposure mode,auto focus mode,exposure mode
www.mypriceindia.com,649,video format,AVI (Motion JPEG ),video_format,A,video format,video format,video format
www.ebay.com,47370,optical zoom,3.3x,zoom_optical,A,zoom optical,auto focus mode,zoom optical
www.ebay.com,53715,brand,Olympus,brand,A,brand,brand,brand
www.buzzillions.com,2922,megapixels,12.1,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,43902,megapixels,20.1 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.price-hunt.com,786,maximum shutter speed,1/4000 sec,shutter_speed_max,A,shutter speed max,auto focus mode,shutter speed max
www.price-hunt.com,9779,sensor format,17.3 x 13 mm,sensor_size,A,sensor size,auto focus mode,sensor format type
www.ebay.com,47888,megapixels,4.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,60716,brand,Nikon,brand,A,brand,brand,brand
www.ebay.com,41978,megapixels,16.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,42538,screen size,"2""",screen_size,A,screen size,auto focus points,screen size
www.alibaba.com,22656,max image resolution,1280 × 960,image_resolution_lw,A,image resolution lw,auto focus mode,image resolution
www.pricedekho.com,1021,display,"Display Type
TFT LCD
Screen Size
3 Inches
Image Display Resolution
921000 dots
Supported Aspect Ratio
16:09
Additional Display Features
Anti-reflection Coating, Wide Viewing Angle",screen_size,B,screen size,display,screen type
www.alibaba.com,28250,lens mount,M12,lens_mount_type,A,lens mount type,auto focus mode,lens mount type
www.shopmania.in,657,digital video format,AVI / MOV / H.264,video_format,A,video format,auto focus mode,file system
www.cambuy.com.au,27,white balance,Auto / Daylight / Cloudy / Shade / Incandescent / Flash / White Set1 / White Set2 / White Set3 / White Set4 / Color Temperature/(2-axis Adjustable),white_balance,A,white balance,auto focus mode,white balance
www.buzzillions.com,1931,optical zoom,16x 21x,zoom_optical,A,zoom optical,auto focus mode,zoom optical
www.alibaba.com,29563,frame rate,"50Hz: 20fps (2048 x 1536), 25fps (1920 × 1080),
25fps (1280 x 720)
60Hz: 20fps (2048 x 1536), 30fps (1920 × 1080),
30fps (1280 x 720)",video_resolution,C,video resolution,auto focus mode,video resolution
www.ebay.com,53062,megapixels,10.2 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,43190,megapixels,6.1 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.shopmania.in,976,brand,Fujifilm,brand,A,brand,brand,brand
buy.net,6196,digital zoom,4 X,zoom_digital,A,zoom digital,auto focus mode,zoom digital
www.price-hunt.com,870,warranty summary,3 Year Pentax India Warranty and Free Transit Insurance.,warranty_duration,A,warranty duration,auto focus automatic,warranty duration
www.shopmania.in,1289,video resolution,960x540 / 1280x720,video_resolution,A,video resolution,video resolution,video resolution
www.alibaba.com,24919,frame rate,"50Hz: 20fps (2048 × 1536), 25fps (1920 × 1080), 25fps (1280 × 720)
60Hz: 20fps (2048 × 1536), 30fps (1920 × 1080), 30fps (1280 × 720)",video_resolution,C,video resolution,auto focus mode,video resolution
www.ebay.com,57906,screen size,"65""",screen_size,A,screen size,auto focus mode,screen size
www.alibaba.com,34648,lens mount,M12,lens_mount_type,A,lens mount type,auto focus mode,lens mount type
www.ebay.com,44814,screen size,"2.7""",screen_size,A,screen size,auto focus mode,screen size
www.ebay.com,45957,brand,Sony,brand,A,brand,brand,brand
www.ebay.com,54802,screen size,"3.5""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,48439,brand,Canon,brand,A,brand,brand,brand
www.ebay.com,42959,megapixels,16.2 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,53387,brand,Nikon,brand,A,brand,brand,brand
www.ebay.com,24178,megapixels,8.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,55308,screen size,"2.7""",screen_size,A,screen size,auto focus mode,screen size
www.shopmania.in,1098,resolution,20.2 MP (more than 96%),image_resolution,A,image resolution,auto focus points,image resolution
www.ukdigitalcameras.co.uk,277,camera resolution,16 Megapixels,image_resolution,A,image resolution,auto focus automatic,image resolution
cammarkt.com,73,lcd screen size,7.6 in.,screen_size,A,screen size,lcd screen size,screen size
www.ebay.com,48407,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
buy.net,5797,white balance modes,AutoCloudyDaylightFlashFluorescentIncandescentManual,white_balance,A,white balance,auto focus mode,white balance mode
www.shopmania.in,1283,screen size,"3"" (more than 62%)",screen_size,A,screen size,auto focus mode,screen size
www.ebay.com,43862,optical zoom,3x,zoom_optical,A,zoom optical,auto focus points,zoom optical
www.gosale.com,624,megapixels,10 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,53719,optical zoom,5x,zoom_optical,A,zoom optical,auto focus points,zoom optical
www.ilgs.net,43,video formats supported,"H.264, MP4, MPEG4",video_format,A,video format,auto focus type,video format
www.buzzillions.com,2179,exposure modes,Program AE Manual iAUTO Aperture-Priority AE Shutter-Priority AE,exposure_mode,A,exposure mode,auto focus mode,exposure mode
www.henrys.com,36,display screen type,LCD Screen,screen_type,A,screen type,display screen type,screen type
www.buzzillions.com,849,camera pixel count,12 Megapixel,image_resolution,C,image resolution,auto focus automatic,camera depth
www.ebay.com,53372,megapixels,10.1 megapixel,image_resolution,B,image resolution,auto focus automatic,image resolution
www.ebay.com,54056,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.pricedekho.com,746,display type,LCD,screen_type,A,screen type,display type,screen type
www.henrys.com,120,colour,Black,color,C,color,colour,color
www.henrys.com,148,optical zoom,12x,zoom_optical,A,zoom optical,auto focus mode,zoom optical
www.ebay.com,42167,brand,Canon,brand,A,brand,brand,brand
www.buzzillions.com,2172,camera pixel count,12 Megapixel,image_resolution,C,image resolution,auto focus automatic,camera depth
www.shopmania.in,1595,exposure compensation,"-/+ 5 EV range, in 1/2 or 1/3 EV steps",exposure_compensation,A,exposure compensation,auto focus mode,exposure compensation
www.pricedekho.com,758,white balancing,"Auto, Cloudy, Colour Filter, Colour Temperature, Custom, Daylight, Flash, Fluorescent, Incandescent, Shade",white_balance,A,white balance,auto focus auto,white balance
www.shopmania.in,1564,image resolutions,640x480 / 1920x1080 / 2592x1944 / 3648x2736 / 5152x2896 / 5152x3864,image_resolution_lw,A,image resolution lw,auto focus points,image resolution
www.price-hunt.com,9762,focusing sysetm,"1-Point af (Fixed to Centre), Aiaf (Face Detection / 9-Point)",auto_focus_mode,C,auto focus mode,auto focus points,auto focus points
www.buzzillions.com,2922,microphone,Microphone - built-in - mono,microphone_type,A,microphone type,auto focus mode,microphone type
www.ebay.com,59557,brand,Canon,brand,A,brand,brand,brand
www.eglobalcentral.co.uk,89,optical zoom,,zoom_optical,A,zoom optical,auto focus mode,zoom optical
www.ebay.com,60767,megapixels,10.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.alibaba.com,29252,lens mount,M12,lens_mount_type,A,lens mount type,auto focus mode,lens mount type
www.shopmania.in,1032,memory type,SD / SDHC / SDXC,external_memory_type,A,external memory type,auto focus type,external memory type
www.price-hunt.com,824,digital zoom,4x,zoom_digital,A,zoom digital,auto focus mode,zoom digital
www.ebay.com,42727,megapixels,16.2 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,56327,brand,Sony,brand,A,brand,brand,brand
www.ebay.com,47784,optical zoom,12x,zoom_optical,A,zoom optical,auto focus automatic,zoom optical
www.buzzillions.com,2126,megapixels,14,image_resolution,B,image resolution,auto focus mode,image resolution
www.buzzillions.com,2185,megapixels,14,image_resolution,B,image resolution,auto focus mode,image resolution
www.shopmania.in,1339,microphone,Yes,microphone_type,A,microphone type,auto focus mode,microphone type
www.ebay.com,57538,brand,Canon,brand,A,brand,brand,brand
www.eglobalcentral.co.uk,645,max resolution,16.1MP: 4608 x 3456,image_resolution_lw,A,image resolution lw,auto focus mode,image resolution
www.buzzillions.com,2759,lcd viewer,2.7 Inch,screen_size,B,screen size,auto focus mode,screen type
www.shopmania.in,1004,white balance,Automatic / Custom / Manual / Presets,white_balance,A,white balance,auto focus automatic,white balance
www.buzzillions.com,2158,lcd viewer,3 Inch 2.7 Inch,screen_size,B,screen size,auto focus mode,screen type
www.ebay.com,53869,megapixels,14.2 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.buzzillions.com,2109,camera color,Orange Blue Green Black Plum Silver,color,A,color,auto focus mode,color
www.ebay.com,46905,screen size,"1.5""",screen_size,A,screen size,auto focus points,screen size
www.shopmania.in,1714,optical zoom,3x,zoom_optical,A,zoom optical,auto focus automatic,zoom optical
www.ebay.com,53130,megapixels,6.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.gosale.com,1110,camera type,Point-and-Shoot,camera_type,A,camera type,auto focus points,camera type
www.pricedekho.com,1095,sensor type,CMOS Sensor,sensor_type,A,sensor type,auto focus mode,sensor type
www.pricedekho.com,1274,optical sensor resolution in megapixel,12 MP,image_resolution,A,image resolution,auto focus automatic,sensor resolution megapixels
www.ebay.com,59841,screen size,"2.7""",screen_size,A,screen size,auto focus mode,screen size
www.pricedekho.com,1129,red eye reduction,Yes,red_eye_reduction,A,red eye reduction,auto focus points,red eye reduction
www.buzzillions.com,2541,lcd viewer,2.7 Inch,screen_size,B,screen size,auto focus mode,screen type
buy.net,5575,lcd screen size,3 in,screen_size,A,screen size,auto focus mode,screen size
www.ebay.com,46023,optical zoom,4x,zoom_optical,A,zoom optical,auto focus automatic,zoom optical
www.ebay.com,55942,screen size,"2.7""",screen_size,A,screen size,auto focus mode,screen size
www.shopmania.in,1718,depth,20 mm,camera_depth,A,camera depth,auto focus mode,camera depth
www.ebay.com,60623,brand,Olympus,brand,A,brand,brand,brand
www.price-hunt.com,9787,audio formats,Linear pcm,supported_audio_formats,A,supported audio formats,audio formats,supported audio formats
www.shopmania.in,1201,depth,78 mm,camera_depth,A,camera depth,auto focus mode,camera depth
www.buzzillions.com,2122,standard warranty,1 Year Limited,warranty_duration,A,warranty duration,auto focus type,warranty duration
www.ebay.com,44659,brand,HP,brand,A,brand,brand,brand
www.shopmania.in,1281,special effects,Contrast / Fisheye / Monochrome / Poster / Retro / Sepia / Vivid,picture_styles,C,picture styles,auto focus mode,picture styles
www.eglobalcentral.co.uk,159,microphone,Built-in Stereo microphone or external stereo microphone,microphone_type,A,microphone type,auto focus mode,microphone type
www.mypriceindia.com,775,image ratio wh,"16:9, 3:2",supported_aspect_ratio,A,supported aspect ratio,auto focus mode,supported aspect ratio
www.alibaba.com,34838,focus control,Manual,auto_focus_automatic,A,auto focus automatic,auto focus mode,auto focus automatic
www.shopmania.in,1720,red eye reduction,Yes,red_eye_reduction,A,red eye reduction,auto focus mode,red eye reduction
www.ebay.com,48955,optical zoom,5x,zoom_optical,A,zoom optical,auto focus points,zoom optical
www.ilgs.net,5,width,6.25 cm,camera_width,A,camera width,width,image resolution
www.mypriceindia.com,787,self timer,"Yes, 2 or 10 sec",self_timer,A,self timer,auto focus type,self timer
www.ebay.com,24673,megapixels,10.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,56611,brand,Nikon,brand,A,brand,brand,brand
www.shopmania.in,975,white balance,Custom / Presets,white_balance,A,white balance,auto focus mode,white balance
www.ebay.com,59982,screen size,"3.2""",screen_size,A,screen size,auto focus points,screen size
www.buzzillions.com,2581,resolution,8 MP and Over,image_resolution,A,image resolution,auto focus points,image resolution
www.flipkart.com,2227,humidity,10% - 90%,working_humidity,A,working humidity,auto focus mode,working humidity
www.alibaba.com,28224,lens mount,M12,lens_mount_type,A,lens mount type,auto focus mode,lens mount type
www.ebay.com,43207,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,56608,screen size,"2.5""",screen_size,A,screen size,auto focus points,screen size
www.shopmania.in,1341,optical zoom,4x (more than 51%),zoom_optical,A,zoom optical,auto focus mode,zoom optical
www.shopmania.in,894,sensor format,APS-C,sensor_size_class,A,sensor size class,auto focus mode,sensor size class
www.buzzillions.com,1911,memory type,Secure Digital (SD) Card,external_memory_type,A,external memory type,auto focus mode,external memory type
www.camerafarm.com.au,828,supported languages,Arabic Chinese (Simplified and Traditional) Czech Danish Dutch English Finnish French German Indonesian Italian Japanese Korean Norwegian Polish Portuguese Russian Spanish Swedish Thai Turkish Spanish,supported_languages,A,supported languages,auto focus mode,supported languages
www.ebay.com,46219,brand,Nikon,brand,A,brand,brand,brand
www.buzzillions.com,2956,width inches,3.56,camera_width,A,camera width,width,image resolution
www.flipkart.com,2174,color,Black,color,A,color,color,color
buy.net,6612,image sensor,CCD,sensor_type,A,sensor type,auto focus mode,sensor type
www.alibaba.com,23838,white balance,"A uto ,D aylight ,C loudy , Incandescent ,F luorescent",white_balance,A,white balance,auto focus type,white balance
www.pricedekho.com,967,optical sensor resolution in megapixel,24.3 MP,image_resolution,A,image resolution,auto focus automatic,sensor resolution megapixels
www.mypriceindia.com,724,video format,"MOV, MPEG-4 AVC / H.264",video_format,A,video format,video format,video format
www.camerafarm.com.au,826,sensor size,23.5 x 15.7mm,sensor_size,A,sensor size,auto focus mode,sensor size
www.henrys.com,57,screen size,"3.0""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,55397,optical zoom,5x,zoom_optical,A,zoom optical,auto focus points,zoom optical
www.shopmania.in,1167,sensor size,15.8 x 23.6mm,sensor_size,A,sensor size,auto focus mode,sensor size
www.ebay.com,59749,megapixels,3.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.price-hunt.com,810,image format,"Dpof, Dcf, Exif 2.3, pim Iii, Jpeg",image_format,A,image format,auto focus mode,image format
www.pricedekho.com,1166,optical zoom,10x,zoom_optical,A,zoom optical,auto focus zoom,zoom optical
www.buzzillions.com,1842,self timer,2 Seconds 10 Seconds Yes,self_timer,A,self timer,auto focus points,self timer
www.henrys.com,177,self timer,"2 Sec, 10 Sec",self_timer,A,self timer,auto focus points,self timer
www.pricedekho.com,1262,sensor size,1/2.33 Inches,sensor_size,A,sensor size,auto focus mode,sensor size
www.ebay.com,54712,megapixels,12.2 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,54217,megapixels,16.2 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,24333,megapixels,18.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,56477,optical zoom,5x,zoom_optical,A,zoom optical,auto focus points,zoom optical
www.ilgs.net,22,internal memory,2048 MB,internal_memory_capacity,A,internal memory capacity,auto focus points,internal memory capacity
www.mypriceindia.com,722,lens type,Leica DC Vario Elmar,lens_mount_type,A,lens mount type,auto focus mode,lens mount type
www.ilgs.net,70,colour of product,Red Red Red,color,C,color,colour,color
www.ebay.com,59113,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.buzzillions.com,2423,camera color,Silver Pink,color,A,color,auto focus mode,color
www.price-hunt.com,9583,warranty summary,2 Year Samsung India Warranty and Free Transit Insurance.,warranty_duration,A,warranty duration,auto focus type,warranty duration
